,Delivered Date,Facility Name,Facility Type,Item Description,Product Source,Type,Units,QTY Per UOM,Total Amount,Cheat Sheet
800,2020-04-06 00:00:00,Mariposa Point of Mesa,LTCF,"Gloves, (NITRILE), Medium",SNS,Gloves,1.0,100.0,100,Good
804,2020-04-06 00:00:00,Mariposa Point of Mesa,LTCF,"Gloves, non-latex (VINYL), Large",SNS,Gloves,1.0,100.0,100,Good
805,2020-04-06 00:00:00,Mariposa Point of Mesa,LTCF,"Face Shield, Full Foam Top",SNS,Face Shield,7.0,24.0,168,Good
819,2020-04-06 00:00:00,Rio Verde Fire,EMS,"Mask, Standard Procedure, Yellow [Kimberly-Clark], One-Size",SNS,Surgical Masks,7.0,50.0,350,Good
820,2020-04-06 00:00:00,Rio Verde Fire,EMS,"Mask, N95 Particulate Respirator NIOSH [3M 8000], Med/Lg",SNS,N95,1.0,30.0,30,Good
824,2020-04-06 00:00:00,Rio Verde Fire,EMS,"Masks, N95, Med/Large",SNS,N95,4.0,20.0,80,Good
830,2020-04-06 00:00:00,Rio Verde Fire,EMS,"Gown, Surgical, Sterile, Large",SNS,Gowns,2.0,30.0,60,Good
831,2020-04-06 00:00:00,Rio Verde Fire,EMS,"Gown, Surgical, Sterile, XL",SNS,Gowns,2.0,30.0,60,Good
856,2020-04-06 00:00:00,Village at Ocotillo,LTCF,"Mask, Standard Procedure, Yellow [Kimberly-Clark], One-Size",SNS,Surgical Masks,18.0,50.0,900,Good
861,2020-04-06 00:00:00,Village at Ocotillo,LTCF,"Masks, N95, Med/Large",SNS,N95,1.0,20.0,20,Good
862,2020-04-06 00:00:00,Village at Ocotillo,LTCF,"Impermeable coverall without integrated hood, Medium",SNS,Alt. Gowns,17.0,1.0,17,Good
867,2020-04-06 00:00:00,Village at Ocotillo,LTCF,"Gown, Surgical, Sterile, Large",SNS,Gowns,1.0,30.0,30,Good
868,2020-04-06 00:00:00,Village at Ocotillo,LTCF,"Gown, Surgical, Sterile, XL",SNS,Gowns,2.0,30.0,60,Good
869,2020-04-06 00:00:00,Village at Ocotillo,LTCF,"Gown, Surgical, Sterile, XXL",SNS,Gowns,2.0,18.0,36,Good
870,2020-04-06 00:00:00,Village at Ocotillo,LTCF,"Gloves, (LATEX), Small",SNS,Gloves,1.0,100.0,100,Good
871,2020-04-06 00:00:00,Village at Ocotillo,LTCF,"Gloves, (LATEX), Medium",SNS,Gloves,1.0,100.0,100,Good
872,2020-04-06 00:00:00,Village at Ocotillo,LTCF,"Gloves, (LATEX), Large",SNS,Gloves,1.0,100.0,100,Good
873,2020-04-06 00:00:00,Village at Ocotillo,LTCF,"Gloves, (NITRILE), Small",SNS,Gloves,1.0,100.0,100,Good
874,2020-04-06 00:00:00,Village at Ocotillo,LTCF,"Gloves, (NITRILE), Medium",SNS,Gloves,1.0,100.0,100,Good
878,2020-04-06 00:00:00,Village at Ocotillo,LTCF,"Gloves, non-latex (VINYL), Large",SNS,Gloves,1.0,100.0,100,Good
879,2020-04-06 00:00:00,Village at Ocotillo,LTCF,"Face Shield, Full Foam Top",SNS,Face Shield,7.0,24.0,168,Good
893,2020-04-07 00:00:00,Alice Group Home,LTCF,"Mask, Standard Procedure, Yellow [Kimberly-Clark], One-Size",SNS,Surgical Masks,18.0,50.0,900,Good
897,2020-04-07 00:00:00,Alice Group Home,LTCF,"Masks, N95, Small",SNS,N95,1.0,20.0,20,Good
898,2020-04-07 00:00:00,Alice Group Home,LTCF,"Masks, N95, Med/Large",SNS,N95,17.0,20.0,340,Good
904,2020-04-07 00:00:00,Alice Group Home,LTCF,"Gown, Surgical, Sterile, Large",SNS,Gowns,1.0,30.0,30,Good
905,2020-04-07 00:00:00,Alice Group Home,LTCF,"Gown, Surgical, Sterile, XL",SNS,Gowns,2.0,30.0,60,Good
906,2020-04-07 00:00:00,Alice Group Home,LTCF,"Gown, Surgical, Sterile, XXL",SNS,Gowns,2.0,18.0,36,Good
907,2020-04-07 00:00:00,Alice Group Home,LTCF,"Gloves, (LATEX), Small",SNS,Gloves,1.0,100.0,100,Good
908,2020-04-07 00:00:00,Alice Group Home,LTCF,"Gloves, (LATEX), Medium",SNS,Gloves,1.0,100.0,100,Good
909,2020-04-07 00:00:00,Alice Group Home,LTCF,"Gloves, (LATEX), Large",SNS,Gloves,1.0,100.0,100,Good
910,2020-04-07 00:00:00,Alice Group Home,LTCF,"Gloves, (NITRILE), Small",SNS,Gloves,1.0,100.0,100,Good
911,2020-04-07 00:00:00,Alice Group Home,LTCF,"Gloves, (NITRILE), Medium",SNS,Gloves,1.0,100.0,100,Good
915,2020-04-07 00:00:00,Alice Group Home,LTCF,"Gloves, non-latex (VINYL), Large",SNS,Gloves,1.0,100.0,100,Good
916,2020-04-07 00:00:00,Alice Group Home,LTCF,"Face Shield, Full Foam Top",SNS,Face Shield,7.0,24.0,168,Good
930,2020-04-07 00:00:00,Avenir Memory,LTCF,"Mask, Standard Procedure, Yellow [Kimberly-Clark], One-Size",SNS,Surgical Masks,18.0,50.0,900,Good
934,2020-04-07 00:00:00,Avenir Memory,LTCF,"Masks, N95, Small",SNS,N95,1.0,20.0,20,Good
935,2020-04-07 00:00:00,Avenir Memory,LTCF,"Masks, N95, Med/Large",SNS,N95,17.0,20.0,340,Good
941,2020-04-07 00:00:00,Avenir Memory,LTCF,"Gown, Surgical, Sterile, Large",SNS,Gowns,1.0,30.0,30,Good
942,2020-04-07 00:00:00,Avenir Memory,LTCF,"Gown, Surgical, Sterile, XL",SNS,Gowns,2.0,30.0,60,Good
943,2020-04-07 00:00:00,Avenir Memory,LTCF,"Gown, Surgical, Sterile, XXL",SNS,Gowns,2.0,18.0,36,Good
944,2020-04-07 00:00:00,Avenir Memory,LTCF,"Gloves, (LATEX), Small",SNS,Gloves,1.0,100.0,100,Good
945,2020-04-07 00:00:00,Avenir Memory,LTCF,"Gloves, (LATEX), Medium",SNS,Gloves,1.0,100.0,100,Good
946,2020-04-07 00:00:00,Avenir Memory,LTCF,"Gloves, (LATEX), Large",SNS,Gloves,1.0,100.0,100,Good
947,2020-04-07 00:00:00,Avenir Memory,LTCF,"Gloves, (NITRILE), Small",SNS,Gloves,1.0,100.0,100,Good
948,2020-04-07 00:00:00,Avenir Memory,LTCF,"Gloves, (NITRILE), Medium",SNS,Gloves,1.0,100.0,100,Good
952,2020-04-07 00:00:00,Avenir Memory,LTCF,"Gloves, non-latex (VINYL), Large",SNS,Gloves,1.0,100.0,100,Good
953,2020-04-07 00:00:00,Avenir Memory,LTCF,"Face Shield, Full Foam Top",SNS,Face Shield,7.0,24.0,168,Good
967,2020-04-07 00:00:00,Beatitudes Campus,LTCF,"Mask, Standard Procedure, Yellow [Kimberly-Clark], One-Size",SNS,Surgical Masks,18.0,50.0,900,Good
971,2020-04-07 00:00:00,Beatitudes Campus,LTCF,"Masks, N95, Small",SNS,N95,1.0,20.0,20,Good
972,2020-04-07 00:00:00,Beatitudes Campus,LTCF,"Masks, N95, Med/Large",SNS,N95,17.0,20.0,340,Good
978,2020-04-07 00:00:00,Beatitudes Campus,LTCF,"Gown, Surgical, Sterile, Large",SNS,Gowns,1.0,30.0,30,Good
979,2020-04-07 00:00:00,Beatitudes Campus,LTCF,"Gown, Surgical, Sterile, XL",SNS,Gowns,2.0,30.0,60,Good
980,2020-04-07 00:00:00,Beatitudes Campus,LTCF,"Gown, Surgical, Sterile, XXL",SNS,Gowns,2.0,18.0,36,Good
981,2020-04-07 00:00:00,Beatitudes Campus,LTCF,"Gloves, (LATEX), Small",SNS,Gloves,1.0,100.0,100,Good
982,2020-04-07 00:00:00,Beatitudes Campus,LTCF,"Gloves, (LATEX), Medium",SNS,Gloves,1.0,100.0,100,Good
983,2020-04-07 00:00:00,Beatitudes Campus,LTCF,"Gloves, (LATEX), Large",SNS,Gloves,1.0,100.0,100,Good
984,2020-04-07 00:00:00,Beatitudes Campus,LTCF,"Gloves, (NITRILE), Small",SNS,Gloves,1.0,100.0,100,Good
985,2020-04-07 00:00:00,Beatitudes Campus,LTCF,"Gloves, (NITRILE), Medium",SNS,Gloves,1.0,100.0,100,Good
989,2020-04-07 00:00:00,Beatitudes Campus,LTCF,"Gloves, non-latex (VINYL), Large",SNS,Gloves,1.0,100.0,100,Good
990,2020-04-07 00:00:00,Beatitudes Campus,LTCF,"Face Shield, Full Foam Top",SNS,Face Shield,7.0,24.0,168,Good
1004,2020-04-07 00:00:00,Christian Health,LTCF,"Mask, Standard Procedure, Yellow [Kimberly-Clark], One-Size",SNS,Surgical Masks,18.0,50.0,900,Good
1008,2020-04-07 00:00:00,Christian Health,LTCF,"Masks, N95, Small",SNS,N95,1.0,20.0,20,Good
1009,2020-04-07 00:00:00,Christian Health,LTCF,"Masks, N95, Med/Large",SNS,N95,17.0,20.0,340,Good
1015,2020-04-07 00:00:00,Christian Health,LTCF,"Gown, Surgical, Sterile, Large",SNS,Gowns,1.0,30.0,30,Good
1016,2020-04-07 00:00:00,Christian Health,LTCF,"Gown, Surgical, Sterile, XL",SNS,Gowns,2.0,30.0,60,Good
1017,2020-04-07 00:00:00,Christian Health,LTCF,"Gown, Surgical, Sterile, XXL",SNS,Gowns,2.0,18.0,36,Good
1018,2020-04-07 00:00:00,Christian Health,LTCF,"Gloves, (LATEX), Small",SNS,Gloves,1.0,100.0,100,Good
1019,2020-04-07 00:00:00,Christian Health,LTCF,"Gloves, (LATEX), Medium",SNS,Gloves,1.0,100.0,100,Good
1020,2020-04-07 00:00:00,Christian Health,LTCF,"Gloves, (LATEX), Large",SNS,Gloves,1.0,100.0,100,Good
1021,2020-04-07 00:00:00,Christian Health,LTCF,"Gloves, (NITRILE), Small",SNS,Gloves,1.0,100.0,100,Good
1022,2020-04-07 00:00:00,Christian Health,LTCF,"Gloves, (NITRILE), Medium",SNS,Gloves,1.0,100.0,100,Good
1026,2020-04-07 00:00:00,Christian Health,LTCF,"Gloves, non-latex (VINYL), Large",SNS,Gloves,1.0,100.0,100,Good
1027,2020-04-07 00:00:00,Christian Health,LTCF,"Face Shield, Full Foam Top",SNS,Face Shield,7.0,24.0,168,Good
1041,2020-04-07 00:00:00,Desert Winds Assisted Living,LTCF,"Mask, Standard Procedure, Yellow [Kimberly-Clark], One-Size",SNS,Surgical Masks,18.0,50.0,900,Good
1045,2020-04-07 00:00:00,Desert Winds Assisted Living,LTCF,"Masks, N95, Small",SNS,N95,1.0,20.0,20,Good
1046,2020-04-07 00:00:00,Desert Winds Assisted Living,LTCF,"Masks, N95, Med/Large",SNS,N95,17.0,20.0,340,Good
1052,2020-04-07 00:00:00,Desert Winds Assisted Living,LTCF,"Gown, Surgical, Sterile, Large",SNS,Gowns,1.0,30.0,30,Good
1053,2020-04-07 00:00:00,Desert Winds Assisted Living,LTCF,"Gown, Surgical, Sterile, XL",SNS,Gowns,2.0,30.0,60,Good
1054,2020-04-07 00:00:00,Desert Winds Assisted Living,LTCF,"Gown, Surgical, Sterile, XXL",SNS,Gowns,2.0,18.0,36,Good
1055,2020-04-07 00:00:00,Desert Winds Assisted Living,LTCF,"Gloves, (LATEX), Small",SNS,Gloves,1.0,100.0,100,Good
1056,2020-04-07 00:00:00,Desert Winds Assisted Living,LTCF,"Gloves, (LATEX), Medium",SNS,Gloves,1.0,100.0,100,Good
1057,2020-04-07 00:00:00,Desert Winds Assisted Living,LTCF,"Gloves, (LATEX), Large",SNS,Gloves,1.0,100.0,100,Good
1058,2020-04-07 00:00:00,Desert Winds Assisted Living,LTCF,"Gloves, (NITRILE), Small",SNS,Gloves,1.0,100.0,100,Good
1059,2020-04-07 00:00:00,Desert Winds Assisted Living,LTCF,"Gloves, (NITRILE), Medium",SNS,Gloves,1.0,100.0,100,Good
1063,2020-04-07 00:00:00,Desert Winds Assisted Living,LTCF,"Gloves, non-latex (VINYL), Large",SNS,Gloves,1.0,100.0,100,Good
1064,2020-04-07 00:00:00,Desert Winds Assisted Living,LTCF,"Face Shield, Full Foam Top",SNS,Face Shield,7.0,24.0,168,Good
1078,2020-04-07 00:00:00,North Chandler Assisted Living,LTCF,"Mask, Standard Procedure, Yellow [Kimberly-Clark], One-Size",SNS,Surgical Masks,18.0,50.0,900,Good
1082,2020-04-07 00:00:00,North Chandler Assisted Living,LTCF,"Masks, N95, Small",SNS,N95,1.0,20.0,20,Good
1083,2020-04-07 00:00:00,North Chandler Assisted Living,LTCF,"Masks, N95, Med/Large",SNS,N95,17.0,20.0,340,Good
1089,2020-04-07 00:00:00,North Chandler Assisted Living,LTCF,"Gown, Surgical, Sterile, Large",SNS,Gowns,1.0,30.0,30,Good
1090,2020-04-07 00:00:00,North Chandler Assisted Living,LTCF,"Gown, Surgical, Sterile, XL",SNS,Gowns,2.0,30.0,60,Good
1091,2020-04-07 00:00:00,North Chandler Assisted Living,LTCF,"Gown, Surgical, Sterile, XXL",SNS,Gowns,2.0,18.0,36,Good
1092,2020-04-07 00:00:00,North Chandler Assisted Living,LTCF,"Gloves, (LATEX), Small",SNS,Gloves,1.0,100.0,100,Good
1093,2020-04-07 00:00:00,North Chandler Assisted Living,LTCF,"Gloves, (LATEX), Medium",SNS,Gloves,1.0,100.0,100,Good
1094,2020-04-07 00:00:00,North Chandler Assisted Living,LTCF,"Gloves, (LATEX), Large",SNS,Gloves,1.0,100.0,100,Good
1095,2020-04-07 00:00:00,North Chandler Assisted Living,LTCF,"Gloves, (NITRILE), Small",SNS,Gloves,1.0,100.0,100,Good
1096,2020-04-07 00:00:00,North Chandler Assisted Living,LTCF,"Gloves, (NITRILE), Medium",SNS,Gloves,1.0,100.0,100,Good
1100,2020-04-07 00:00:00,North Chandler Assisted Living,LTCF,"Gloves, non-latex (VINYL), Large",SNS,Gloves,1.0,100.0,100,Good
1101,2020-04-07 00:00:00,North Chandler Assisted Living,LTCF,"Face Shield, Full Foam Top",SNS,Face Shield,7.0,24.0,168,Good
1115,2020-04-07 00:00:00,Queen Creek Fire,EMS,"Mask, Standard Procedure, Yellow [Kimberly-Clark], One-Size",SNS,Surgical Masks,7.0,50.0,350,Good
1116,2020-04-07 00:00:00,Queen Creek Fire,EMS,"Mask, N95 Particulate Respirator NIOSH [3M 8000], Med/Lg",SNS,N95,1.0,30.0,30,Good
1120,2020-04-07 00:00:00,Queen Creek Fire,EMS,"Masks, N95, Med/Large",SNS,N95,4.0,20.0,80,Good
1127,2020-04-07 00:00:00,Queen Creek Fire,EMS,"Gown, Surgical, Sterile, XL",SNS,Gowns,2.0,30.0,60,Good
1128,2020-04-07 00:00:00,Queen Creek Fire,EMS,"Gown, Surgical, Sterile, XXL",SNS,Gowns,2.0,18.0,36,Good
1152,2020-04-07 00:00:00,Solace Hospice,LTFC,"Mask, Standard Procedure, Yellow [Kimberly-Clark], One-Size",SNS,Surgical Masks,18.0,50.0,900,Good
1156,2020-04-07 00:00:00,Solace Hospice,LTFC,"Masks, N95, Small",SNS,N95,1.0,20.0,20,Good
1157,2020-04-07 00:00:00,Solace Hospice,LTFC,"Masks, N95, Med/Large",SNS,N95,17.0,20.0,340,Good
1163,2020-04-07 00:00:00,Solace Hospice,LTFC,"Gown, Surgical, Sterile, Large",SNS,Gowns,1.0,30.0,30,Good
1164,2020-04-07 00:00:00,Solace Hospice,LTFC,"Gown, Surgical, Sterile, XL",SNS,Gowns,2.0,30.0,60,Good
1165,2020-04-07 00:00:00,Solace Hospice,LTFC,"Gown, Surgical, Sterile, XXL",SNS,Gowns,2.0,18.0,36,Good
1166,2020-04-07 00:00:00,Solace Hospice,LTFC,"Gloves, (LATEX), Small",SNS,Gloves,1.0,100.0,100,Good
1167,2020-04-07 00:00:00,Solace Hospice,LTFC,"Gloves, (LATEX), Medium",SNS,Gloves,1.0,100.0,100,Good
1168,2020-04-07 00:00:00,Solace Hospice,LTFC,"Gloves, (LATEX), Large",SNS,Gloves,1.0,100.0,100,Good
1169,2020-04-07 00:00:00,Solace Hospice,LTFC,"Gloves, (NITRILE), Small",SNS,Gloves,1.0,100.0,100,Good
1170,2020-04-07 00:00:00,Solace Hospice,LTFC,"Gloves, (NITRILE), Medium",SNS,Gloves,1.0,100.0,100,Good
1174,2020-04-07 00:00:00,Solace Hospice,LTFC,"Gloves, non-latex (VINYL), Large",SNS,Gloves,1.0,100.0,100,Good
1175,2020-04-07 00:00:00,Solace Hospice,LTFC,"Face Shield, Full Foam Top",SNS,Face Shield,7.0,24.0,168,Good
1200,2020-04-08 00:00:00,El Mirage Fire,EMS,"Gown, Surgical, Sterile, Large",SNS,Gowns,75.0,30.0,2250,no sure
1226,2020-04-08 00:00:00,Lake Pleasant Rehab,LTCF,"Mask, Standard Procedure, Yellow [Kimberly-Clark], One-Size",SNS,Surgical Masks,20.0,50.0,1000,Good
1230,2020-04-08 00:00:00,Lake Pleasant Rehab,LTCF,"Masks, N95, Small",SNS,N95,3.0,20.0,60,Good
1231,2020-04-08 00:00:00,Lake Pleasant Rehab,LTCF,"Masks, N95, Med/Large",SNS,N95,8.0,20.0,160,Good
1237,2020-04-08 00:00:00,Lake Pleasant Rehab,LTCF,"Gown, Surgical, Sterile, Large",SNS,Gowns,7.0,30.0,210,Good
1238,2020-04-08 00:00:00,Lake Pleasant Rehab,LTCF,"Gown, Surgical, Sterile, XL",SNS,Gowns,7.0,30.0,210,Good
1239,2020-04-08 00:00:00,Lake Pleasant Rehab,LTCF,"Gown, Surgical, Sterile, XXL",SNS,Gowns,6.0,18.0,108,Good
1240,2020-04-08 00:00:00,Lake Pleasant Rehab,LTCF,"Gloves, (LATEX), Small",SNS,Gloves,2.0,100.0,200,Good
1241,2020-04-08 00:00:00,Lake Pleasant Rehab,LTCF,"Gloves, (LATEX), Medium",SNS,Gloves,2.0,100.0,200,Good
1242,2020-04-08 00:00:00,Lake Pleasant Rehab,LTCF,"Gloves, (LATEX), Large",SNS,Gloves,2.0,100.0,200,Good
1243,2020-04-08 00:00:00,Lake Pleasant Rehab,LTCF,"Gloves, (NITRILE), Small",SNS,Gloves,2.0,100.0,200,Good
1244,2020-04-08 00:00:00,Lake Pleasant Rehab,LTCF,"Gloves, (NITRILE), Medium",SNS,Gloves,2.0,100.0,200,Good
1245,2020-04-08 00:00:00,Lake Pleasant Rehab,LTCF,"Gloves, (NITRILE), Large",SNS,Gloves,2.0,100.0,200,Good
1247,2020-04-08 00:00:00,Lake Pleasant Rehab,LTCF,"Gloves, non-latex (VINYL), Medium",SNS,Gloves,1.0,100.0,100,Good
1248,2020-04-08 00:00:00,Lake Pleasant Rehab,LTCF,"Gloves, non-latex (VINYL), Large",SNS,Gloves,1.0,100.0,100,Good
1249,2020-04-08 00:00:00,Lake Pleasant Rehab,LTCF,"Face Shield, Full Foam Top",SNS,Face Shield,5.0,24.0,120,Good
1263,2020-04-08 00:00:00,Montecito Senior Living,LTCF,"Mask, Standard Procedure, Yellow [Kimberly-Clark], One-Size",SNS,Surgical Masks,18.0,50.0,900,Good
1267,2020-04-08 00:00:00,Montecito Senior Living,LTCF,"Masks, N95, Small",SNS,N95,1.0,20.0,20,Good
1268,2020-04-08 00:00:00,Montecito Senior Living,LTCF,"Masks, N95, Med/Large",SNS,N95,17.0,20.0,340,Good
1274,2020-04-08 00:00:00,Montecito Senior Living,LTCF,"Gown, Surgical, Sterile, Large",SNS,Gowns,1.0,30.0,30,Good
1275,2020-04-08 00:00:00,Montecito Senior Living,LTCF,"Gown, Surgical, Sterile, XL",SNS,Gowns,2.0,30.0,60,Good
1276,2020-04-08 00:00:00,Montecito Senior Living,LTCF,"Gown, Surgical, Sterile, XXL",SNS,Gowns,2.0,18.0,36,Good
1277,2020-04-08 00:00:00,Montecito Senior Living,LTCF,"Gloves, (LATEX), Small",SNS,Gloves,1.0,100.0,100,Good
1278,2020-04-08 00:00:00,Montecito Senior Living,LTCF,"Gloves, (LATEX), Medium",SNS,Gloves,1.0,100.0,100,Good
1279,2020-04-08 00:00:00,Montecito Senior Living,LTCF,"Gloves, (LATEX), Large",SNS,Gloves,1.0,100.0,100,Good
1280,2020-04-08 00:00:00,Montecito Senior Living,LTCF,"Gloves, (NITRILE), Small",SNS,Gloves,1.0,100.0,100,Good
1281,2020-04-08 00:00:00,Montecito Senior Living,LTCF,"Gloves, (NITRILE), Medium",SNS,Gloves,1.0,100.0,100,Good
1285,2020-04-08 00:00:00,Montecito Senior Living,LTCF,"Gloves, non-latex (VINYL), Large",SNS,Gloves,1.0,100.0,100,Good
1286,2020-04-08 00:00:00,Montecito Senior Living,LTCF,"Face Shield, Full Foam Top",SNS,Face Shield,7.0,24.0,168,Good
1300,2020-04-08 00:00:00,Palos Verde Senior Living,LTCF,"Mask, Standard Procedure, Yellow [Kimberly-Clark], One-Size",SNS,Surgical Masks,18.0,50.0,900,Good
1304,2020-04-08 00:00:00,Palos Verde Senior Living,LTCF,"Masks, N95, Small",SNS,N95,1.0,20.0,20,Good
1305,2020-04-08 00:00:00,Palos Verde Senior Living,LTCF,"Masks, N95, Med/Large",SNS,N95,17.0,20.0,340,Good
1311,2020-04-08 00:00:00,Palos Verde Senior Living,LTCF,"Gown, Surgical, Sterile, Large",SNS,Gowns,1.0,30.0,30,Good
1312,2020-04-08 00:00:00,Palos Verde Senior Living,LTCF,"Gown, Surgical, Sterile, XL",SNS,Gowns,2.0,30.0,60,Good
1313,2020-04-08 00:00:00,Palos Verde Senior Living,LTCF,"Gown, Surgical, Sterile, XXL",SNS,Gowns,2.0,18.0,36,Good
1314,2020-04-08 00:00:00,Palos Verde Senior Living,LTCF,"Gloves, (LATEX), Small",SNS,Gloves,1.0,100.0,100,Good
1315,2020-04-08 00:00:00,Palos Verde Senior Living,LTCF,"Gloves, (LATEX), Medium",SNS,Gloves,1.0,100.0,100,Good
1316,2020-04-08 00:00:00,Palos Verde Senior Living,LTCF,"Gloves, (LATEX), Large",SNS,Gloves,1.0,100.0,100,Good
1317,2020-04-08 00:00:00,Palos Verde Senior Living,LTCF,"Gloves, (NITRILE), Small",SNS,Gloves,1.0,100.0,100,Good
1318,2020-04-08 00:00:00,Palos Verde Senior Living,LTCF,"Gloves, (NITRILE), Medium",SNS,Gloves,1.0,100.0,100,Good
1322,2020-04-08 00:00:00,Palos Verde Senior Living,LTCF,"Gloves, non-latex (VINYL), Large",SNS,Gloves,1.0,100.0,100,Good
1323,2020-04-08 00:00:00,Palos Verde Senior Living,LTCF,"Face Shield, Full Foam Top",SNS,Face Shield,7.0,24.0,168,Good
1337,2020-04-08 00:00:00,The Groves,LTCF,"Mask, Standard Procedure, Yellow [Kimberly-Clark], One-Size",SNS,Surgical Masks,18.0,50.0,900,Good
1341,2020-04-08 00:00:00,The Groves,LTCF,"Masks, N95, Small",SNS,N95,1.0,20.0,20,Good
1342,2020-04-08 00:00:00,The Groves,LTCF,"Masks, N95, Med/Large",SNS,N95,17.0,20.0,340,Good
1348,2020-04-08 00:00:00,The Groves,LTCF,"Gown, Surgical, Sterile, Large",SNS,Gowns,1.0,30.0,30,Good
1349,2020-04-08 00:00:00,The Groves,LTCF,"Gown, Surgical, Sterile, XL",SNS,Gowns,2.0,30.0,60,Good
1350,2020-04-08 00:00:00,The Groves,LTCF,"Gown, Surgical, Sterile, XXL",SNS,Gowns,2.0,18.0,36,Good
1351,2020-04-08 00:00:00,The Groves,LTCF,"Gloves, (LATEX), Small",SNS,Gloves,1.0,100.0,100,Good
1352,2020-04-08 00:00:00,The Groves,LTCF,"Gloves, (LATEX), Medium",SNS,Gloves,1.0,100.0,100,Good
1353,2020-04-08 00:00:00,The Groves,LTCF,"Gloves, (LATEX), Large",SNS,Gloves,1.0,100.0,100,Good
1354,2020-04-08 00:00:00,The Groves,LTCF,"Gloves, (NITRILE), Small",SNS,Gloves,1.0,100.0,100,Good
1355,2020-04-08 00:00:00,The Groves,LTCF,"Gloves, (NITRILE), Medium",SNS,Gloves,1.0,100.0,100,Good
1359,2020-04-08 00:00:00,The Groves,LTCF,"Gloves, non-latex (VINYL), Large",SNS,Gloves,1.0,100.0,100,Good
1360,2020-04-08 00:00:00,The Groves,LTCF,"Face Shield, Full Foam Top",SNS,Face Shield,7.0,24.0,168,Good
1374,2020-04-09 00:00:00,Acoya Mesa,LTCF,"Mask, Standard Procedure, Yellow [Kimberly-Clark], One-Size",SNS,Surgical Masks,10.0,50.0,500,Good
1378,2020-04-09 00:00:00,Acoya Mesa,LTCF,"Masks, N95, Small",SNS,N95,2.0,20.0,40,Good
1379,2020-04-09 00:00:00,Acoya Mesa,LTCF,"Masks, N95, Med/Large",SNS,N95,2.0,20.0,40,Good
1385,2020-04-09 00:00:00,Acoya Mesa,LTCF,"Gown, Surgical, Sterile, Large",SNS,Gowns,6.0,30.0,180,Good
1386,2020-04-09 00:00:00,Acoya Mesa,LTCF,"Gown, Surgical, Sterile, XL",SNS,Gowns,7.0,30.0,210,Good
1387,2020-04-09 00:00:00,Acoya Mesa,LTCF,"Gown, Surgical, Sterile, XXL",SNS,Gowns,6.0,18.0,108,Good
1388,2020-04-09 00:00:00,Acoya Mesa,LTCF,"Gloves, (LATEX), Small",SNS,Gloves,1.0,100.0,100,Good
1389,2020-04-09 00:00:00,Acoya Mesa,LTCF,"Gloves, (LATEX), Medium",SNS,Gloves,2.0,100.0,200,Good
1390,2020-04-09 00:00:00,Acoya Mesa,LTCF,"Gloves, (LATEX), Large",SNS,Gloves,1.0,100.0,100,Good
1391,2020-04-09 00:00:00,Acoya Mesa,LTCF,"Gloves, (NITRILE), Small",SNS,Gloves,1.0,100.0,100,Good
1392,2020-04-09 00:00:00,Acoya Mesa,LTCF,"Gloves, (NITRILE), Medium",SNS,Gloves,1.0,100.0,100,Good
1393,2020-04-09 00:00:00,Acoya Mesa,LTCF,"Gloves, (NITRILE), Large",SNS,Gloves,2.0,100.0,200,Good
1395,2020-04-09 00:00:00,Acoya Mesa,LTCF,"Gloves, non-latex (VINYL), Medium",SNS,Gloves,1.0,100.0,100,Good
1396,2020-04-09 00:00:00,Acoya Mesa,LTCF,"Gloves, non-latex (VINYL), Large",SNS,Gloves,1.0,100.0,100,Good
1397,2020-04-09 00:00:00,Acoya Mesa,LTCF,"Face Shield, Full Foam Top",SNS,Face Shield,1.0,24.0,24,Good
1411,2020-04-09 00:00:00,Aguila Fire District,EMS,"Mask, Standard Procedure, Yellow [Kimberly-Clark], One-Size",SNS,Surgical Masks,36.0,50.0,1800,Good
1422,2020-04-09 00:00:00,Aguila Fire District,EMS,"Gown, Surgical, Sterile, Large",SNS,Gowns,2.0,30.0,60,Good
1423,2020-04-09 00:00:00,Aguila Fire District,EMS,"Gown, Surgical, Sterile, XL",SNS,Gowns,2.0,30.0,60,Good
1424,2020-04-09 00:00:00,Aguila Fire District,EMS,"Gown, Surgical, Sterile, XXL",SNS,Gowns,2.0,18.0,36,Good
1425,2020-04-09 00:00:00,Aguila Fire District,EMS,"Gloves, (LATEX), Small",SNS,Gloves,10.0,100.0,1000,not sure
1426,2020-04-09 00:00:00,Aguila Fire District,EMS,"Gloves, (LATEX), Medium",SNS,Gloves,10.0,100.0,1000,not sure
1427,2020-04-09 00:00:00,Aguila Fire District,EMS,"Gloves, (LATEX), Large",SNS,Gloves,10.0,100.0,1000,not sure
1434,2020-04-09 00:00:00,Aguila Fire District,EMS,"Face Shield, Full Foam Top",SNS,Face Shield,4.0,24.0,96,Good
1448,2020-04-09 00:00:00,Correctional Health,County,"Mask, Standard Procedure, Yellow [Kimberly-Clark], One-Size",SNS,Surgical Masks,277.0,50.0,13850,Good
1452,2020-04-09 00:00:00,Correctional Health,County,"Masks, N95, Small",SNS,N95,4.0,20.0,80,Good
1453,2020-04-09 00:00:00,Correctional Health,County,"Masks, N95, Med/Large",SNS,N95,68.0,20.0,1360,Good
1459,2020-04-09 00:00:00,Correctional Health,County,"Gown, Surgical, Sterile, Large",SNS,Gowns,31.0,30.0,930,Good
