,Delivered Date,Facility Name,Facility Type,Item Description,Product Source,Type,Units,QTY Per UOM,Total Amount,week_of_year
3196,2020-04-30,Surprise Health and Rehab Center,Ltcf,"Gloves, non-latex (VINYL), Large",SNS,gloves,1.0,100.0,100,17
3237,2020-04-30,Westchester Senior Campus,Ltcf,Hand Sanitizer,AZ/MasCache,hand sanitizer,3.0,1.0,3,17
3274,2020-05-01,Immanuel Campus of Care,Ltcf,Hand Sanitizer,AZ/MasCache,hand sanitizer,3.0,1.0,3,17
3285,2020-04-30,Olive Grove Assisted Living,Ltcf,"Mask, Standard Procedure, Yellow [Kimberly-Clark], One-Size",SNS,surgical mask,1.0,50.0,50,17
3286,2020-04-30,Olive Grove Assisted Living,Ltcf,"Mask, N95 Particulate Respirator NIOSH [3M 8000], Med/Lg",SNS,n95,6.0,30.0,180,17
3290,2020-04-30,Olive Grove Assisted Living,Ltcf,"Masks, N95, Med/Large",SNS,n95,1.0,20.0,20,17
3308,2020-04-30,Olive Grove Assisted Living,Ltcf,"Face Shield, Full Foam Top",SNS,face shield,2.0,24.0,48,17
3322,2020-05-01,"Open Arms, LLC",Ltcf,"Mask, Standard Procedure, Yellow [Kimberly-Clark], One-Size",SNS,surgical mask,4.0,50.0,200,17
3323,2020-05-01,"Open Arms, LLC",Ltcf,"Mask, N95 Particulate Respirator NIOSH [3M 8000], Med/Lg",SNS,n95,2.0,30.0,60,17
3327,2020-05-01,"Open Arms, LLC",Ltcf,"Masks, N95, Med/Large",SNS,n95,2.0,20.0,40,17
3336,2020-05-01,"Open Arms, LLC",Ltcf,"Gloves, (LATEX), Small",SNS,gloves,1.0,100.0,100,17
3337,2020-05-01,"Open Arms, LLC",Ltcf,"Gloves, (LATEX), Medium",SNS,gloves,2.0,100.0,200,17
3338,2020-05-01,"Open Arms, LLC",Ltcf,"Gloves, (LATEX), Large",SNS,gloves,1.0,100.0,100,17
3344,2020-05-01,"Open Arms, LLC",Ltcf,"Gloves, non-latex (VINYL), Large",SNS,gloves,1.0,100.0,100,17
3345,2020-05-01,"Open Arms, LLC",Ltcf,"Face Shield, Full Foam Top",SNS,face shield,4.0,24.0,96,17
3349,2020-05-01,"Open Arms, LLC",Ltcf,Rain Coats,Maricopa,alt. gowns,74.0,1.0,74,17
3385,2020-05-01,R & D Adult Care,Ltcf,Hand Sanitizer,AZ/MasCache,hand sanitizer,4.0,1.0,4,17
3397,2020-05-01,Sunview Respiratory and Rehab,Ltcf,"Mask, N95 Particulate Respirator NIOSH [3M 8000], Med/Lg",SNS,n95,10.0,30.0,300,17
3407,2020-05-01,Sunview Respiratory and Rehab,Ltcf,"Gown, Surgical, Sterile, Large",SNS,gowns,2.0,30.0,60,17
3409,2020-05-01,Sunview Respiratory and Rehab,Ltcf,"Gown, Surgical, Sterile, XXL",SNS,gowns,2.0,18.0,36,17
3410,2020-05-01,Sunview Respiratory and Rehab,Ltcf,"Gloves, (LATEX), Small",SNS,gloves,1.0,100.0,100,17
3411,2020-05-01,Sunview Respiratory and Rehab,Ltcf,"Gloves, (LATEX), Medium",SNS,gloves,1.0,100.0,100,17
3412,2020-05-01,Sunview Respiratory and Rehab,Ltcf,"Gloves, (LATEX), Large",SNS,gloves,1.0,100.0,100,17
3434,2020-05-01,Thunderbird Senior Living ,Ltcf,"Mask, N95 Particulate Respirator NIOSH [3M 8000], Med/Lg",SNS,n95,9.0,30.0,270,17
3462,2020-05-01,Thunderbird Senior Living ,Ltcf,Shoe Cover ,Donations,shoe cover,50.0,1.0,50,17
3470,2020-05-01,Avenir Memory Care at Chandler,Ltcf,"Mask, Standard Procedure, Yellow [Kimberly-Clark], One-Size",SNS,surgical mask,10.0,50.0,500,17
3471,2020-05-01,Avenir Memory Care at Chandler,Ltcf,"Mask, N95 Particulate Respirator NIOSH [3M 8000], Med/Lg",SNS,n95,1.0,30.0,30,17
3475,2020-05-01,Avenir Memory Care at Chandler,Ltcf,"Masks, N95, Med/Large",SNS,n95,1.0,20.0,20,17
3478,2020-05-01,Avenir Memory Care at Chandler,Ltcf,"Impermeable coverall without integrated hood, X-Large",SNS,alt. gowns,200.0,1.0,200,17
3484,2020-05-01,Avenir Memory Care at Chandler,Ltcf,"Gloves, (LATEX), Small",SNS,gloves,2.0,100.0,200,17
3485,2020-05-01,Avenir Memory Care at Chandler,Ltcf,"Gloves, (LATEX), Medium",SNS,gloves,2.0,100.0,200,17
3486,2020-05-01,Avenir Memory Care at Chandler,Ltcf,"Gloves, (LATEX), Large",SNS,gloves,1.0,100.0,100,17
3507,2020-05-01,Bridgewater Assisted Living,Ltcf,"Mask, Standard Procedure, Yellow [Kimberly-Clark], One-Size",SNS,surgical mask,20.0,50.0,1000,17
3521,2020-05-01,Bridgewater Assisted Living,Ltcf,"Gloves, (LATEX), Small",SNS,gloves,10.0,100.0,1000,17
3522,2020-05-01,Bridgewater Assisted Living,Ltcf,"Gloves, (LATEX), Medium",SNS,gloves,10.0,100.0,1000,17
3523,2020-05-01,Bridgewater Assisted Living,Ltcf,"Gloves, (LATEX), Large",SNS,gloves,10.0,100.0,1000,17
3530,2020-05-01,Bridgewater Assisted Living,Ltcf,"Face Shield, Full Foam Top",SNS,face shield,21.0,24.0,504,17
3534,2020-05-01,Bridgewater Assisted Living,Ltcf,Rain Coats,Maricopa,alt. gowns,38.0,1.0,38,17
3567,2020-05-01,Desert Blossom Health & Rehab,Ltcf,"Face Shield, Full Foam Top",SNS,face shield,21.0,24.0,504,17
3571,2020-05-01,Desert Blossom Health & Rehab,Ltcf,Rain Coats,Donations,alt. gowns,200.0,1.0,200,17
3604,2020-05-01,Freedom Plaza Care Center ,Ltcf,"Face Shield, Full Foam Top",SNS,face shield,4.0,24.0,96,17
3607,2020-05-01,Freedom Plaza Care Center ,Ltcf,Hand Sanitizer,AZ/MasCache,hand sanitizer,8.0,1.0,8,17
3608,2020-05-01,Freedom Plaza Care Center ,Ltcf,Rain Coats,Maricopa,alt. gowns,96.0,1.0,96,17
3644,2020-05-01,Gardens at Ocotillo,Ltcf,Hand Sanitizer,Purchased/Maricopa,hand sanitizer,6.0,1.0,6,17
3655,2020-05-01,Gila River Indian Community,Tribal,"Mask, Standard Procedure, Yellow [Kimberly-Clark], One-Size",SNS,surgical mask,120.0,50.0,6000,17
3656,2020-05-01,Gila River Indian Community,Tribal,"Mask, N95 Particulate Respirator NIOSH [3M 8000], Med/Lg",SNS,n95,32.0,30.0,960,17
3660,2020-05-01,Gila River Indian Community,Tribal,"Masks, N95, Med/Large",SNS,n95,2.0,20.0,40,17
3666,2020-05-01,Gila River Indian Community,Tribal,"Gown, Surgical, Sterile, Large",SNS,gowns,1.0,30.0,30,17
3667,2020-05-01,Gila River Indian Community,Tribal,"Gown, Surgical, Sterile, XL",SNS,gowns,2.0,30.0,60,17
3668,2020-05-01,Gila River Indian Community,Tribal,"Gown, Surgical, Sterile, XXL",SNS,gowns,1.0,18.0,18,17
3673,2020-05-01,Gila River Indian Community,Tribal,"Gloves, (NITRILE), Medium",Donations,gloves,4.0,100.0,400,17
3674,2020-05-01,Gila River Indian Community,Tribal,"Gloves, (NITRILE), Large",Donations,gloves,21.0,100.0,2100,17
3678,2020-05-01,Gila River Indian Community,Tribal,"Face Shield, Full Foam Top",SNS,face shield,41.0,24.0,984,17
3706,2020-05-01,Haven of Phoenix,Ltcf,"Gloves, (LATEX), Small",SNS,gloves,2.0,100.0,200,17
3707,2020-05-01,Haven of Phoenix,Ltcf,"Gloves, (LATEX), Medium",SNS,gloves,4.0,100.0,400,17
3708,2020-05-01,Haven of Phoenix,Ltcf,"Gloves, (LATEX), Large",SNS,gloves,2.0,100.0,200,17
3711,2020-05-01,Haven of Phoenix,Ltcf,"Gloves, (NITRILE), Large",SNS,gloves,1.0,100.0,100,17
3715,2020-05-01,Haven of Phoenix,Ltcf,"Face Shield, Full Foam Top",SNS,face shield,4.0,24.0,96,17
3719,2020-05-01,Haven of Phoenix,Ltcf,Rain Coats,Maricopa,alt. gowns,100.0,1.0,100,17
3742,2020-04-30,Cactus Villa Assisted Living ,Ltcf,"Gown, Surgical, Sterile, XXL",SNS,gowns,1.0,18.0,18,17
3752,2020-04-30,Cactus Villa Assisted Living ,Ltcf,"Face Shield, Full Foam Top",SNS,face shield,2.0,24.0,48,17
3794,2020-04-30,Palos Verdes Senior Living,Ltcf,Ponchos,Maricopa,alt. gowns,4.0,24.0,96,17
3817,2020-04-20,Bridge Water Assisted Living ,Ltcf,"Gloves, (LATEX), Small",SNS,gloves,11.0,100.0,1100,16
3818,2020-04-20,Bridge Water Assisted Living ,Ltcf,"Gloves, (LATEX), Medium",SNS,gloves,11.0,100.0,1100,16
3819,2020-04-20,Bridge Water Assisted Living ,Ltcf,"Gloves, (LATEX), Large",SNS,gloves,11.0,100.0,1100,16
3821,2020-04-20,Bridge Water Assisted Living ,Ltcf,"Gloves, (NITRILE), Medium",SNS,gloves,11.0,100.0,1100,16
3822,2020-04-20,Bridge Water Assisted Living ,Ltcf,"Gloves, (NITRILE), Large",SNS,gloves,11.0,100.0,1100,16
3825,2020-04-20,Bridge Water Assisted Living ,Ltcf,"Gloves, non-latex (VINYL), Large",SNS,gloves,11.0,100.0,1100,16
3840,2020-04-20,Heritage Court Post Acute of Scottsdale,Ltcf,"Mask, Standard Procedure, Yellow [Kimberly-Clark], One-Size",SNS,surgical mask,14.0,50.0,700,16
3841,2020-04-20,Heritage Court Post Acute of Scottsdale,Ltcf,"Mask, N95 Particulate Respirator NIOSH [3M 8000], Med/Lg",SNS,n95,2.0,30.0,60,16
3851,2020-04-20,Heritage Court Post Acute of Scottsdale,Ltcf,"Gown, Surgical, Sterile, Large",SNS,gowns,2.0,30.0,60,16
3852,2020-04-20,Heritage Court Post Acute of Scottsdale,Ltcf,"Gown, Surgical, Sterile, XL",SNS,gowns,2.0,30.0,60,16
3853,2020-04-20,Heritage Court Post Acute of Scottsdale,Ltcf,"Gown, Surgical, Sterile, XXL",SNS,gowns,1.0,18.0,18,16
3854,2020-04-20,Heritage Court Post Acute of Scottsdale,Ltcf,"Gloves, (LATEX), Small",SNS,gloves,2.0,100.0,200,16
3855,2020-04-20,Heritage Court Post Acute of Scottsdale,Ltcf,"Gloves, (LATEX), Medium",SNS,gloves,2.0,100.0,200,16
3856,2020-04-20,Heritage Court Post Acute of Scottsdale,Ltcf,"Gloves, (LATEX), Large",SNS,gloves,2.0,100.0,200,16
3857,2020-04-20,Heritage Court Post Acute of Scottsdale,Ltcf,"Gloves, (NITRILE), Small",SNS,gloves,2.0,100.0,200,16
3858,2020-04-20,Heritage Court Post Acute of Scottsdale,Ltcf,"Gloves, (NITRILE), Medium",SNS,gloves,2.0,100.0,200,16
3859,2020-04-20,Heritage Court Post Acute of Scottsdale,Ltcf,"Gloves, (NITRILE), Large",SNS,gloves,2.0,100.0,200,16
3861,2020-04-20,Heritage Court Post Acute of Scottsdale,Ltcf,"Gloves, non-latex (VINYL), Medium",SNS,gloves,2.0,100.0,200,16
3862,2020-04-20,Heritage Court Post Acute of Scottsdale,Ltcf,"Gloves, non-latex (VINYL), Large",SNS,gloves,2.0,100.0,200,16
3863,2020-04-20,Heritage Court Post Acute of Scottsdale,Ltcf,"Face Shield, Full Foam Top",SNS,face shield,8.0,24.0,192,16
3877,2020-04-20,Salt River Pima Medical Indian Comm,Tribal,"Mask, Standard Procedure, Yellow [Kimberly-Clark], One-Size",SNS,surgical mask,80.0,50.0,4000,16
3878,2020-04-20,Salt River Pima Medical Indian Comm,Tribal,"Mask, N95 Particulate Respirator NIOSH [3M 8000], Med/Lg",SNS,n95,67.0,30.0,2010,16
3891,2020-04-20,Salt River Pima Medical Indian Comm,Tribal,"Gloves, (LATEX), Small",SNS,gloves,5.0,100.0,500,16
3892,2020-04-20,Salt River Pima Medical Indian Comm,Tribal,"Gloves, (LATEX), Medium",SNS,gloves,10.0,100.0,1000,16
3893,2020-04-20,Salt River Pima Medical Indian Comm,Tribal,"Gloves, (LATEX), Large",SNS,gloves,5.0,100.0,500,16
3894,2020-04-20,Salt River Pima Medical Indian Comm,Tribal,"Gloves, (NITRILE), Small",SNS,gloves,5.0,100.0,500,16
3895,2020-04-20,Salt River Pima Medical Indian Comm,Tribal,"Gloves, (NITRILE), Medium",SNS,gloves,5.0,100.0,500,16
3896,2020-04-20,Salt River Pima Medical Indian Comm,Tribal,"Gloves, (NITRILE), Large",SNS,gloves,5.0,100.0,500,16
3899,2020-04-20,Salt River Pima Medical Indian Comm,Tribal,"Gloves, non-latex (VINYL), Large",SNS,gloves,10.0,100.0,1000,16
3914,2020-04-21,Bethany Ranch Home,Ltcf,"Mask, Standard Procedure, Yellow [Kimberly-Clark], One-Size",SNS,surgical mask,8.0,50.0,400,16
3915,2020-04-21,Bethany Ranch Home,Ltcf,"Mask, N95 Particulate Respirator NIOSH [3M 8000], Med/Lg",SNS,n95,13.0,30.0,390,16
3925,2020-04-21,Bethany Ranch Home,Ltcf,"Gown, Surgical, Sterile, Large",SNS,gowns,5.0,30.0,150,16
3926,2020-04-21,Bethany Ranch Home,Ltcf,"Gown, Surgical, Sterile, XL",SNS,gowns,5.0,30.0,150,16
3927,2020-04-21,Bethany Ranch Home,Ltcf,"Gown, Surgical, Sterile, XXL",SNS,gowns,2.0,18.0,36,16
3928,2020-04-21,Bethany Ranch Home,Ltcf,"Gloves, (LATEX), Small",SNS,gloves,7.0,100.0,700,16
3929,2020-04-21,Bethany Ranch Home,Ltcf,"Gloves, (LATEX), Medium",SNS,gloves,7.0,100.0,700,16
3930,2020-04-21,Bethany Ranch Home,Ltcf,"Gloves, (LATEX), Large",SNS,gloves,7.0,100.0,700,16
3932,2020-04-21,Bethany Ranch Home,Ltcf,"Gloves, (NITRILE), Medium",SNS,gloves,13.0,100.0,1300,16
3933,2020-04-21,Bethany Ranch Home,Ltcf,"Gloves, (NITRILE), Large",SNS,gloves,13.0,100.0,1300,16
3936,2020-04-21,Bethany Ranch Home,Ltcf,"Gloves, non-latex (VINYL), Large",SNS,gloves,1.0,100.0,100,16
3937,2020-04-21,Bethany Ranch Home,Ltcf,"Face Shield, Full Foam Top",SNS,face shield,17.0,24.0,408,16
3951,2020-04-21,Brookdale Baywood Assisted Living,Ltcf,"Mask, Standard Procedure, Yellow [Kimberly-Clark], One-Size",SNS,surgical mask,28.0,50.0,1400,16
3952,2020-04-21,Brookdale Baywood Assisted Living,Ltcf,"Mask, N95 Particulate Respirator NIOSH [3M 8000], Med/Lg",SNS,n95,23.0,30.0,690,16
3962,2020-04-21,Brookdale Baywood Assisted Living,Ltcf,"Gown, Surgical, Sterile, Large",SNS,gowns,25.0,30.0,750,16
3963,2020-04-21,Brookdale Baywood Assisted Living,Ltcf,"Gown, Surgical, Sterile, XL",SNS,gowns,15.0,30.0,450,16
3964,2020-04-21,Brookdale Baywood Assisted Living,Ltcf,"Gown, Surgical, Sterile, XXL",SNS,gowns,35.0,18.0,630,16
3965,2020-04-21,Brookdale Baywood Assisted Living,Ltcf,"Gloves, (LATEX), Small",SNS,gloves,3.0,100.0,300,16
3966,2020-04-21,Brookdale Baywood Assisted Living,Ltcf,"Gloves, (LATEX), Medium",SNS,gloves,3.0,100.0,300,16
3967,2020-04-21,Brookdale Baywood Assisted Living,Ltcf,"Gloves, (LATEX), Large",SNS,gloves,2.0,100.0,200,16
3969,2020-04-21,Brookdale Baywood Assisted Living,Ltcf,"Gloves, (NITRILE), Medium",SNS,gloves,6.0,100.0,600,16
3970,2020-04-21,Brookdale Baywood Assisted Living,Ltcf,"Gloves, (NITRILE), Large",SNS,gloves,5.0,100.0,500,16
3973,2020-04-21,Brookdale Baywood Assisted Living,Ltcf,"Gloves, non-latex (VINYL), Large",SNS,gloves,1.0,100.0,100,16
3974,2020-04-21,Brookdale Baywood Assisted Living,Ltcf,"Face Shield, Full Foam Top",SNS,face shield,29.0,24.0,696,16
3988,2020-04-21,Lake Pleasant Post Acute,Ltcf,"Mask, Standard Procedure, Yellow [Kimberly-Clark], One-Size",SNS,surgical mask,2.0,50.0,100,16
3989,2020-04-21,Lake Pleasant Post Acute,Ltcf,"Mask, N95 Particulate Respirator NIOSH [3M 8000], Med/Lg",SNS,n95,13.0,30.0,390,16
3999,2020-04-21,Lake Pleasant Post Acute,Ltcf,"Gown, Surgical, Sterile, Large",SNS,gowns,30.0,30.0,900,16
4001,2020-04-21,Lake Pleasant Post Acute,Ltcf,"Gown, Surgical, Sterile, XXL",SNS,gowns,50.0,18.0,900,16
4002,2020-04-21,Lake Pleasant Post Acute,Ltcf,"Gloves, (LATEX), Small",SNS,gloves,2.0,100.0,200,16
4003,2020-04-21,Lake Pleasant Post Acute,Ltcf,"Gloves, (LATEX), Medium",SNS,gloves,3.0,100.0,300,16
4006,2020-04-21,Lake Pleasant Post Acute,Ltcf,"Gloves, (NITRILE), Medium",SNS,gloves,5.0,100.0,500,16
4007,2020-04-21,Lake Pleasant Post Acute,Ltcf,"Gloves, (NITRILE), Large",SNS,gloves,4.0,100.0,400,16
4011,2020-04-21,Lake Pleasant Post Acute,Ltcf,"Face Shield, Full Foam Top",SNS,face shield,15.0,24.0,360,16
4025,2020-04-21,Quality Senior Home Asisted Living Facility,Ltcf,"Mask, Standard Procedure, Yellow [Kimberly-Clark], One-Size",SNS,surgical mask,1.0,50.0,50,16
4030,2020-04-21,Quality Senior Home Asisted Living Facility,Ltcf,"Masks, N95, Med/Large",SNS,n95,5.0,20.0,100,16
4036,2020-04-21,Quality Senior Home Asisted Living Facility,Ltcf,"Gown, Surgical, Sterile, Large",SNS,gowns,1.0,30.0,30,16
4037,2020-04-21,Quality Senior Home Asisted Living Facility,Ltcf,"Gown, Surgical, Sterile, XL",SNS,gowns,1.0,30.0,30,16
4039,2020-04-21,Quality Senior Home Asisted Living Facility,Ltcf,"Gloves, (LATEX), Small",SNS,gloves,1.0,100.0,100,16
4040,2020-04-21,Quality Senior Home Asisted Living Facility,Ltcf,"Gloves, (LATEX), Medium",SNS,gloves,1.0,100.0,100,16
4041,2020-04-21,Quality Senior Home Asisted Living Facility,Ltcf,"Gloves, (LATEX), Large",SNS,gloves,1.0,100.0,100,16
4042,2020-04-21,Quality Senior Home Asisted Living Facility,Ltcf,"Gloves, (NITRILE), Small",SNS,gloves,1.0,100.0,100,16
4043,2020-04-21,Quality Senior Home Asisted Living Facility,Ltcf,"Gloves, (NITRILE), Medium",SNS,gloves,2.0,100.0,200,16
4044,2020-04-21,Quality Senior Home Asisted Living Facility,Ltcf,"Gloves, (NITRILE), Large",SNS,gloves,1.0,100.0,100,16
4046,2020-04-21,Quality Senior Home Asisted Living Facility,Ltcf,"Gloves, non-latex (VINYL), Medium",SNS,gloves,2.0,100.0,200,16
4047,2020-04-21,Quality Senior Home Asisted Living Facility,Ltcf,"Gloves, non-latex (VINYL), Large",SNS,gloves,1.0,100.0,100,16
4048,2020-04-21,Quality Senior Home Asisted Living Facility,Ltcf,"Face Shield, Full Foam Top",SNS,face shield,2.0,24.0,48,16
4062,2020-04-21,Recovery Innovations,Ltcf,"Mask, Standard Procedure, Yellow [Kimberly-Clark], One-Size",SNS,surgical mask,20.0,50.0,1000,16
4067,2020-04-21,Recovery Innovations,Ltcf,"Masks, N95, Med/Large",SNS,n95,7.0,20.0,140,16
4073,2020-04-21,Recovery Innovations,Ltcf,"Gown, Surgical, Sterile, Large",SNS,gowns,2.0,30.0,60,16
4074,2020-04-21,Recovery Innovations,Ltcf,"Gown, Surgical, Sterile, XL",SNS,gowns,2.0,30.0,60,16
4076,2020-04-21,Recovery Innovations,Ltcf,"Gloves, (LATEX), Small",SNS,gloves,2.0,100.0,200,16
4077,2020-04-21,Recovery Innovations,Ltcf,"Gloves, (LATEX), Medium",SNS,gloves,2.0,100.0,200,16
4078,2020-04-21,Recovery Innovations,Ltcf,"Gloves, (LATEX), Large",SNS,gloves,2.0,100.0,200,16
4083,2020-04-21,Recovery Innovations,Ltcf,"Gloves, non-latex (VINYL), Medium",SNS,gloves,2.0,100.0,200,16
4085,2020-04-21,Recovery Innovations,Ltcf,"Face Shield, Full Foam Top",SNS,face shield,2.0,24.0,48,16
4099,2020-04-22,Desert Haven Care Center,Ltcf,"Mask, Standard Procedure, Yellow [Kimberly-Clark], One-Size",SNS,surgical mask,10.0,50.0,500,16
4100,2020-04-22,Desert Haven Care Center,Ltcf,"Mask, N95 Particulate Respirator NIOSH [3M 8000], Med/Lg",SNS,n95,3.0,30.0,90,16
4110,2020-04-22,Desert Haven Care Center,Ltcf,"Gown, Surgical, Sterile, Large",SNS,gowns,7.0,30.0,210,16
4112,2020-04-22,Desert Haven Care Center,Ltcf,"Gown, Surgical, Sterile, XXL",SNS,gowns,4.0,18.0,72,16
4113,2020-04-22,Desert Haven Care Center,Ltcf,"Gloves, (LATEX), Small",SNS,gloves,1.0,100.0,100,16
4114,2020-04-22,Desert Haven Care Center,Ltcf,"Gloves, (LATEX), Medium",SNS,gloves,1.0,100.0,100,16
4115,2020-04-22,Desert Haven Care Center,Ltcf,"Gloves, (LATEX), Large",SNS,gloves,1.0,100.0,100,16
4116,2020-04-22,Desert Haven Care Center,Ltcf,"Gloves, (NITRILE), Small",SNS,gloves,1.0,100.0,100,16
4117,2020-04-22,Desert Haven Care Center,Ltcf,"Gloves, (NITRILE), Medium",SNS,gloves,1.0,100.0,100,16
4118,2020-04-22,Desert Haven Care Center,Ltcf,"Gloves, (NITRILE), Large",SNS,gloves,1.0,100.0,100,16
4121,2020-04-22,Desert Haven Care Center,Ltcf,"Gloves, non-latex (VINYL), Large",SNS,gloves,1.0,100.0,100,16
4122,2020-04-22,Desert Haven Care Center,Ltcf,"Face Shield, Full Foam Top",SNS,face shield,2.0,24.0,48,16
4136,2020-04-22,Empowerment House,Ltcf,"Mask, Standard Procedure, Yellow [Kimberly-Clark], One-Size",SNS,surgical mask,2.0,50.0,100,16
4137,2020-04-22,Empowerment House,Ltcf,"Mask, N95 Particulate Respirator NIOSH [3M 8000], Med/Lg",SNS,n95,3.0,30.0,90,16
4147,2020-04-22,Empowerment House,Ltcf,"Gown, Surgical, Sterile, Large",SNS,gowns,1.0,30.0,30,16
4149,2020-04-22,Empowerment House,Ltcf,"Gown, Surgical, Sterile, XXL",SNS,gowns,2.0,18.0,36,16
4154,2020-04-22,Empowerment House,Ltcf,"Gloves, (NITRILE), Medium",SNS,gloves,1.0,100.0,100,16
4159,2020-04-22,Empowerment House,Ltcf,"Face Shield, Full Foam Top",SNS,face shield,4.0,24.0,96,16
4173,2020-04-22,Loving Manor Assisted Living,Ltcf,"Mask, Standard Procedure, Yellow [Kimberly-Clark], One-Size",SNS,surgical mask,1.0,50.0,50,16
4178,2020-04-22,Loving Manor Assisted Living,Ltcf,"Masks, N95, Med/Large",SNS,n95,1.0,20.0,20,16
4186,2020-04-22,Loving Manor Assisted Living,Ltcf,"Gown, Surgical, Sterile, XXL",SNS,gowns,1.0,18.0,18,16
4191,2020-04-22,Loving Manor Assisted Living,Ltcf,"Gloves, (NITRILE), Medium",SNS,gloves,1.0,100.0,100,16
4196,2020-04-22,Loving Manor Assisted Living,Ltcf,"Face Shield, Full Foam Top",SNS,face shield,1.0,24.0,24,16
4210,2020-04-22,Lynwood Home,Ltcf,"Mask, Standard Procedure, Yellow [Kimberly-Clark], One-Size",SNS,surgical mask,4.0,50.0,200,16
4211,2020-04-22,Lynwood Home,Ltcf,"Mask, N95 Particulate Respirator NIOSH [3M 8000], Med/Lg",SNS,n95,7.0,30.0,210,16
4221,2020-04-22,Lynwood Home,Ltcf,"Gown, Surgical, Sterile, Large",SNS,gowns,1.0,30.0,30,16
4225,2020-04-22,Lynwood Home,Ltcf,"Gloves, (LATEX), Medium",SNS,gloves,1.0,100.0,100,16
4228,2020-04-22,Lynwood Home,Ltcf,"Gloves, (NITRILE), Medium",SNS,gloves,1.0,100.0,100,16
4233,2020-04-22,Lynwood Home,Ltcf,"Face Shield, Full Foam Top",SNS,face shield,2.0,24.0,48,16
4247,2020-04-22,Mariposa Point at Mesa,Ltcf,"Mask, Standard Procedure, Yellow [Kimberly-Clark], One-Size",SNS,surgical mask,4.0,50.0,200,16
4248,2020-04-22,Mariposa Point at Mesa,Ltcf,"Mask, N95 Particulate Respirator NIOSH [3M 8000], Med/Lg",SNS,n95,4.0,30.0,120,16
4258,2020-04-22,Mariposa Point at Mesa,Ltcf,"Gown, Surgical, Sterile, Large",SNS,gowns,3.0,30.0,90,16
4260,2020-04-22,Mariposa Point at Mesa,Ltcf,"Gown, Surgical, Sterile, XXL",SNS,gowns,3.0,18.0,54,16
4261,2020-04-22,Mariposa Point at Mesa,Ltcf,"Gloves, (LATEX), Small",SNS,gloves,2.0,100.0,200,16
4262,2020-04-22,Mariposa Point at Mesa,Ltcf,"Gloves, (LATEX), Medium",SNS,gloves,3.0,100.0,300,16
4263,2020-04-22,Mariposa Point at Mesa,Ltcf,"Gloves, (LATEX), Large",SNS,gloves,3.0,100.0,300,16
4265,2020-04-22,Mariposa Point at Mesa,Ltcf,"Gloves, (NITRILE), Medium",SNS,gloves,5.0,100.0,500,16
4266,2020-04-22,Mariposa Point at Mesa,Ltcf,"Gloves, (NITRILE), Large",SNS,gloves,5.0,100.0,500,16
4269,2020-04-22,Mariposa Point at Mesa,Ltcf,"Gloves, non-latex (VINYL), Large",SNS,gloves,1.0,100.0,100,16
4270,2020-04-22,Mariposa Point at Mesa,Ltcf,"Face Shield, Full Foam Top",SNS,face shield,2.0,24.0,48,16
4284,2020-04-23,AZ Dream Team Grace House,Ltcf,"Mask, Standard Procedure, Yellow [Kimberly-Clark], One-Size",SNS,surgical mask,3.0,50.0,150,16
4299,2020-04-23,AZ Dream Team Grace House,Ltcf,"Gloves, (LATEX), Medium",SNS,gloves,10.0,100.0,1000,16
4300,2020-04-23,AZ Dream Team Grace House,Ltcf,"Gloves, (LATEX), Large",SNS,gloves,10.0,100.0,1000,16
4301,2020-04-23,AZ Dream Team Grace House,Ltcf,"Gloves, (NITRILE), Small",SNS,gloves,1.0,100.0,100,16
4302,2020-04-23,AZ Dream Team Grace House,Ltcf,"Gloves, (NITRILE), Medium",SNS,gloves,30.0,100.0,3000,16
4303,2020-04-23,AZ Dream Team Grace House,Ltcf,"Gloves, (NITRILE), Large",SNS,gloves,30.0,100.0,3000,16
4306,2020-04-23,AZ Dream Team Grace House,Ltcf,"Gloves, non-latex (VINYL), Large",SNS,gloves,1.0,100.0,100,16
4307,2020-04-23,AZ Dream Team Grace House,Ltcf,"Face Shield, Full Foam Top",SNS,face shield,2.0,24.0,48,16
4322,2020-04-23,Brookdale North Gilbert,Ltcf,"Mask, N95 Particulate Respirator NIOSH [3M 8000], Med/Lg",SNS,n95,21.0,30.0,630,16
4335,2020-04-23,Brookdale North Gilbert,Ltcf,"Gloves, (LATEX), Small",SNS,gloves,1.0,100.0,100,16
4336,2020-04-23,Brookdale North Gilbert,Ltcf,"Gloves, (LATEX), Medium",SNS,gloves,3.0,100.0,300,16
4337,2020-04-23,Brookdale North Gilbert,Ltcf,"Gloves, (LATEX), Large",SNS,gloves,3.0,100.0,300,16
4339,2020-04-23,Brookdale North Gilbert,Ltcf,"Gloves, (NITRILE), Medium",SNS,gloves,2.0,100.0,200,16
4340,2020-04-23,Brookdale North Gilbert,Ltcf,"Gloves, (NITRILE), Large",SNS,gloves,2.0,100.0,200,16
4343,2020-04-23,Brookdale North Gilbert,Ltcf,"Gloves, non-latex (VINYL), Large",SNS,gloves,1.0,100.0,100,16
4344,2020-04-23,Brookdale North Gilbert,Ltcf,"Face Shield, Full Foam Top",SNS,face shield,35.0,24.0,840,16
4358,2020-04-23,Christen Care Health Center,Ltcf,"Mask, Standard Procedure, Yellow [Kimberly-Clark], One-Size",SNS,surgical mask,3.0,50.0,150,16
